item,unit,Price,AtVolume,m
Nafion_Membrane,m2,700,510000,0.91
Consumables,piece,0.6,510000,0.8
Pt,kg,48226.11985,510000,1
Ir,kg,23630,510000,1
Nafion_ionomer,kg,1530,510000,0.79
Solvents,kg,2.641729,510000,0.8
Ti_powder,kg,35,510000,0.9
Gold_coating,kg,41000,1000,1
Carbon_cloth,m2,350,510000,0.9
PPS-40%GF resin,kg,15.4,510000,0.9
Stainless_steel_316L,piece(957.44cm2),5,510000,1
Assembly_accessories,/,180,510000,0.8
NiO_powder,kg,37,0.31400416,0.85
8YSZ_powder,kg,35.3,67.51984078,0.88
Butvar,kg,18.36,170.6140483,0.941
Scanticizer,kg,1,25.59210724,0.9
Carbon_black,kg,1.33,4872,0.9
N_butyl,kg,1.516,109.6804596,0.833
Methanol,kg,18.5,67510.31582,0.975
2_Butoxyethanol,/,3.07,0.991340908,0.987
Tape,m2,0.173,4872,0.55
LSM_powder,kg,75,503.3381382,0.85
Glass_Sealant,kg,48.5,4872,0.85
SS_441,kg,1,1,1
Coating_powder,kg,150,3170.339018,0.9
N2,m3,0.53,257.5107296,0.8
H2,m3,0.53,1146.613668,0.8
Direct_material,/,180,4872,0.8
